"ProfileId","ProfileCat","ConstId","ConstVal","ConstString"
"36","F","10110","0.00001599999999999999927596978921418013896982301957905292510986328125",""
"38","F","10134","0.00119699999999999993037513856819487045868299901485443115234375",""
"11","F","19","3360",""
"37","F","10068","27139",""
"36","F","10111","0.0000053900000000000000631417661212108072277260362170636653900146484375",""
"38","F","10135","0.000092150000000000003718032826061090645453077740967273712158203125",""
"11","F","20","2970",""
"37","F","10069","27139",""
"36","F","10112","0.000754000000000000004420075416788904476561583578586578369140625",""
"38","F","10136","0.00001955999999999999907252141995162020293719251640141010284423828125",""
"11","F","21","2140",""
"37","F","10100","0",""
"36","F","10113","0.0000313000000000000018658685707606537107494659721851348876953125",""
"38","F","10137","0.0000375700000000000011268590227597741204590420238673686981201171875",""
"11","F","22","1460",""
"37","F","10101","0",""
"36","F","10114","1048576",""
"38","F","10138","0.0003631999999999999920348436877048925452982075512409210205078125",""
"11","F","23","2310",""
"37","F","10102","0.000351999999999999990847598940746365769882686436176300048828125",""
"36","F","10116","0.000001049999999999999899545958213786800428124479367397725582122802734375",""
"38","F","10139","0.00003344999999999999991569243906752717521158047020435333251953125",""
"11","F","24","2200",""
"37","F","10103","2.4699999999999997423131761555849771061499353663748479448258876800537109375E-10",""
"36","F","10117","0.00078600000000000002330080572932047289214096963405609130859375",""
"38","F","10140","0.00000303799999999999996628629976569424542276465217582881450653076171875",""
"11","F","25","2090",""
"37","F","10104","200",""
"36","F","10118","0.00000367000000000000001392007169254139142822168651036918163299560546875",""
"38","F","10144","4.87800000000000013713270970161506312479104963131248950958251953125E-7",""
"11","F","26","1860",""
"37","F","10105","0.000501999999999999950602014298084441179526038467884063720703125",""
"36","F","10119","0.0024399999999999998946675905386882732273079454898834228515625",""
"38","F","10145","0.0000069630000000000000798402143009635523185352212749421596527099609375",""
"11","F","27","1230",""
"37","F","10106","0",""
"36","F","10120","0.0000622999999999999964396535379052011194289661943912506103515625",""
"38","F","10146","0.000067920000000000000229920249505966012293356470763683319091796875",""
"11","F","28","810",""
"37","F","10107","0.00059299999999999999412969575729448479251004755496978759765625",""
"36","F","10121","0.0022499999999999998299970993542729047476314008235931396484375",""
"38","F","10147","0.00014149999999999999709086873078689450267120264470577239990234375",""
"9","F","17","6320",""
"37","F","10108","0.0000069099999999999999096556013711278865230269730091094970703125",""
"36","F","10122","0.448000000000000009325873406851314939558506011962890625",""
"38","F","10148","0.0000204000000000000011944438493838305248573306016623973846435546875",""
"9","F","18","5970",""
"37","F","10109","140",""
"36","F","10123","1.4299999999999999378275106209912337362766265869140625",""
"38","F","10149","0.00001775000000000000115554267543505062576514319516718387603759765625",""
"9","F","19","5610",""
"37","F","10110","0.0003429999999999999889255253293640635092742741107940673828125",""
"36","F","10124","1.3899999999999999023003738329862244427204132080078125",""
"38","F","10150","0.0000132300000000000003859933206395993465775973163545131683349609375",""
"9","F","20","4740",""
"37","F","10111","0.0000084800000000000001244837566360956770949997007846832275390625",""
"36","F","10125","0.00001889999999999999861534372147531257724040187895298004150390625",""
"38","F","10151","0.000115600000000000004509760620496905403342680074274539947509765625",""
"9","F","21","3180",""
"37","F","10112","0.000015000000000000000380012861456169304119612206704914569854736328125",""
"36","F","10126","0.0309999999999999997779553950749686919152736663818359375",""
"38","F","10152","0.00001071000000000000079648961037737109336376306600868701934814453125",""
"9","F","22","2000",""
"37","F","10113","0.000031900000000000002897508621924060889796237461268901824951171875",""
