"SystemName","GroupName","FieldNum","FieldName","FieldValue","Emulate"
"SAB MILLER                    ","2","42","USERASROWSIZE                                                                                                                                                                                                                                                   ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","43","NUSIDELCTRLPCT                                                                                                                                                                                                                                                  ","0.00000000E+00                                                                                                                                                                                                                                                  ","Y"
"SAB MILLER                    ","2","44","DR138006OFF                                                                                                                                                                                                                                                     ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","45","DISABLEDR136124FLA                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","46","DR107798OFF                                                                                                                                                                                                                                                     ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","47","USEOLDJOINTERMSELECTIONRULES                                                                                                                                                                                                                                    ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","48","VALUETOCONVINTOOR                                                                                                                                                                                                                                               ","10240                                                                                                                                                                                                                                                           ","Y"
"SAB MILLER                    ","2","49","MINAMPROWS4HASHPARTWITHCONF                                                                                                                                                                                                                                     ","10                                                                                                                                                                                                                                                              ","Y"
"SAB MILLER                    ","2","50","MINAMPROWS4HASHPARTWITHOUTCONF                                                                                                                                                                                                                                  ","10                                                                                                                                                                                                                                                              ","Y"
"SAB MILLER                    ","2","51","MINPERAMPGROUPCNT                                                                                                                                                                                                                                               ","5                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","52","BYPASSMAXPARSETREESEGS                                                                                                                                                                                                                                          ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","53","TEMPMEMPOOLTHRESHOLD4LTSTJ                                                                                                                                                                                                                                      ","200                                                                                                                                                                                                                                                             ","Y"
"SAB MILLER                    ","2","56","PARTIALINLISTSEL                                                                                                                                                                                                                                                ","100                                                                                                                                                                                                                                                             ","Y"
"SAB MILLER                    ","2","57","USEDUPELIMTHRESHOLD                                                                                                                                                                                                                                             ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","58","ENABLENEOOPUTCOPYFORGROUPBY                                                                                                                                                                                                                                     ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","59","DISABLEOJHASHJOIN                                                                                                                                                                                                                                               ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","60","DISABLEINCJOINHASHJOIN                                                                                                                                                                                                                                          ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","61","DISABLEEXCJOINHASHJOIN                                                                                                                                                                                                                                          ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","62","DISABLEINCJOINHASHJOINDPE                                                                                                                                                                                                                                       ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","63","DISABLEEXCJOINHASHJOINDPE                                                                                                                                                                                                                                       ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","64","DISABLEHASHJOINDPE                                                                                                                                                                                                                                              ","0                                                                                                                                                                                                                                                               ","Y"
