"SystemName","GroupName","FieldNum","FieldName","FieldValue","Emulate"
"SAB MILLER                    ","2","518","MINSTATSTRENDSTABILITYE                                                                                                                                                                                                                                         ","95                                                                                                                                                                                                                                                              ","Y"
"SAB MILLER                    ","2","519","MINSTATSTRENDRELIABILITY                                                                                                                                                                                                                                        ","70                                                                                                                                                                                                                                                              ","Y"
"SAB MILLER                    ","2","520","AUTOTHRESHOLDPERCENTFORSTATS                                                                                                                                                                                                                                    ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","521","AUTOTHRESHOLDDAYSFORSTATS                                                                                                                                                                                                                                       ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","522","AUTOSAMPLESTATS                                                                                                                                                                                                                                                 ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","523","SKIPREWRITE4JI                                                                                                                                                                                                                                                  ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","2","1001","ALLOWOHJ4DUPINNERBASEREL                                                                                                                                                                                                                                        ","0                                                                                                                                                                                                                                                               ","Y"
"SAB MILLER                    ","C","1","SYSTEM TABLES                                                                                                                                                                                                                                                   ","NONE                                                                                                                                                                                                                                                            ","N"
"SAB MILLER                    ","C","2","SYSTEM JOURNAL TABLES                                                                                                                                                                                                                                           ","NONE                                                                                                                                                                                                                                                            ","N"
"SAB MILLER                    ","C","3","SYSTEM LOGGING TABLES                                                                                                                                                                                                                                           ","NONE                                                                                                                                                                                                                                                            ","N"
"SAB MILLER                    ","C","4","USER TABLES                                                                                                                                                                                                                                                     ","NONE                                                                                                                                                                                                                                                            ","N"
"SAB MILLER                    ","C","5","PERMANENT JOURNAL TABLES                                                                                                                                                                                                                                        ","NONE                                                                                                                                                                                                                                                            ","N"
"SAB MILLER                    ","C","6","TEMPORARY TABLES                                                                                                                                                                                                                                                ","NONE                                                                                                                                                                                                                                                            ","N"
"SAB MILLER                    ","C","7","LOW                                                                                                                                                                                                                                                             ","  2% SAMPLING                                                                                                                                                                                                                                                   ","N"
"SAB MILLER                    ","C","8","MEDIUM                                                                                                                                                                                                                                                          "," 33% SAMPLING                                                                                                                                                                                                                                                   ","N"
"SAB MILLER                    ","C","9","HIGH                                                                                                                                                                                                                                                            "," 67% SAMPLING                                                                                                                                                                                                                                                   ","N"
"SAB MILLER                    ","F","1","FREESPACEPERCENT                                                                                                                                                                                                                                                ","0%                                                                                                                                                                                                                                                              ","N"
"SAB MILLER                    ","F","2","MINICYLPACKLOWCYLPROD                                                                                                                                                                                                                                           ","10 (FREE CYLINDERS)                                                                                                                                                                                                                                             ","N"
"SAB MILLER                    ","F","3","PERMDBSIZE                                                                                                                                                                                                                                                      ","254 (SECTORS)                                                                                                                                                                                                                                                   ","N"
"SAB MILLER                    ","F","4","JOURNALDBSIZE                                                                                                                                                                                                                                                   ","254 (SECTORS)                                                                                                                                                                                                                                                   ","N"
"SAB MILLER                    ","F","5","DEFRAGLOWCYLPROD                                                                                                                                                                                                                                                ","100 (FREE CYLINDERS)                                                                                                                                                                                                                                            ","N"
"SAB MILLER                    ","F","6","PERMDBALLOCUNIT                                                                                                                                                                                                                                                 ","1 (SECTORS)                                                                                                                                                                                                                                                     ","N"
"SAB MILLER                    ","F","7","CYLINDERS SAVED FOR PERM                                                                                                                                                                                                                                        ","10 (CYLINDERS)                                                                                                                                                                                                                                                  ","N"
"SAB MILLER                    ","F","8","DISABLEWALFORDBS                                                                                                                                                                                                                                                ","FALSE                                                                                                                                                                                                                                                           ","N"
"SAB MILLER                    ","F","9","DISABLEWAL                                                                                                                                                                                                                                                      ","FALSE                                                                                                                                                                                                                                                           ","N"
"SAB MILLER                    ","F","10","WAL BUFFERS                                                                                                                                                                                                                                                     ","20 (WAL LOG BUFFERS)                                                                                                                                                                                                                                            ","N"
"SAB MILLER                    ","F","11","MAXSYNCWALWRITES                                                                                                                                                                                                                                                ","5 (MAXSYNCWALWRITES)                                                                                                                                                                                                                                            ","N"
"SAB MILLER                    ","F","12","SMALLDEPOTCYLSPERPDISK                                                                                                                                                                                                                                          ","2 (CYLINDERS)                                                                                                                                                                                                                                                   ","N"
"SAB MILLER                    ","F","13","LARGEDEPOTCYLSPERPDISK                                                                                                                                                                                                                                          ","1 (CYLINDERS)                                                                                                                                                                                                                                                   ","N"
"SAB MILLER                    ","F","14","WAL CHECKPOINT INTERVAL                                                                                                                                                                                                                                         ","60 (SECONDS)                                                                                                                                                                                                                                                    ","N"
"SAB MILLER                    ","F","15","FREE CYLINDER CACHE SIZE                                                                                                                                                                                                                                        ","100 (NUMBER OF CYLINDERS)                                                                                                                                                                                                                                       ","N"
"SAB MILLER                    ","F","16","BKGRND AGE CYCLE INTERVAL                                                                                                                                                                                                                                       ","60 (SECONDS)                                                                                                                                                                                                                                                    ","N"
"SAB MILLER                    ","F","17","DISABLEAUTOCYLPACK                                                                                                                                                                                                                                              ","FALSE                                                                                                                                                                                                                                                           ","N"
"SAB MILLER                    ","F","18","AUTOCYLPACKCOLDDATA                                                                                                                                                                                                                                             ","FALSE                                                                                                                                                                                                                                                           ","N"
"SAB MILLER                    ","F","19","AUTOCYLPACKFSP                                                                                                                                                                                                                                                  ","10%                                                                                                                                                                                                                                                             ","N"
"SAB MILLER                    ","F","20","AUTOCYLPACKSTYLE                                                                                                                                                                                                                                                ","2 (PACK ONLY)                                                                                                                                                                                                                                                   ","N"
"SAB MILLER                    ","F","21","AUTOCYLPACKTHRESH                                                                                                                                                                                                                                               ","5%                                                                                                                                                                                                                                                              ","N"
"SAB MILLER                    ","F","22","AUTOCYLPACKFREECYLTHRESH                                                                                                                                                                                                                                        ","20 (CYLINDERS)                                                                                                                                                                                                                                                  ","N"
"SAB MILLER                    ","F","23","AUTOCYLPACKINTERVAL                                                                                                                                                                                                                                             ","60 (SECONDS)                                                                                                                                                                                                                                                    ","N"
"SAB MILLER                    ","F","24","AUTOCYLPACKIOTHRESH                                                                                                                                                                                                                                             ","1 (NUMBER)                                                                                                                                                                                                                                                      ","N"
"SAB MILLER                    ","F","27","MERGEBLOCKRATIO                                                                                                                                                                                                                                                 ","60                                                                                                                                                                                                                                                              ","N"
"SAB MILLER                    ","F","28","DISABLEMERGEBLOCKS                                                                                                                                                                                                                                              ","DISABLED                                                                                                                                                                                                                                                        ","N"
"SAB MILLER                    ","F","100","MIREBUILDPRELOADHIGHWATERMARK                                                                                                                                                                                                                                   ","192 (NUMBER)                                                                                                                                                                                                                                                    ","N"
"SAB MILLER                    ","F","101","MIREBUILDPRELOADLOWWATERMARK                                                                                                                                                                                                                                    ","168 (NUMBER)                                                                                                                                                                                                                                                    ","N"
"SAB MILLER                    ","F","102","HEATMAPCHECKSUMCOUNT                                                                                                                                                                                                                                            ","  2% SAMPLING (0-100%, DEFAULT 2%)                                                                                                                                                                                                                              ","N"
"SAB MILLER                    ","F","103","DISABLEBLCSMALLDBSPCCOUNTING                                                                                                                                                                                                                                    ","FALSE                                                                                                                                                                                                                                                           ","N"
"SAB MILLER                    ","G","1","VERSION                                                                                                                                                                                                                                                         ","9                                                                                                                                                                                                                                                               ","N"
"SAB MILLER                    ","G","2","SYSINIT                                                                                                                                                                                                                                                         ","TRUE (2013-02-28 08:38)                                                                                                                                                                                                                                         ","N"
"SAB MILLER                    ","G","3","DEADLOCKTIMEOUT                                                                                                                                                                                                                                                 ","240                                                                                                                                                                                                                                                             ","N"
"SAB MILLER                    ","G","5","HASHFUNCDBC                                                                                                                                                                                                                                                     ","6 (UNIVERSAL)                                                                                                                                                                                                                                                   ","N"
"SAB MILLER                    ","G","8","SESSIONMODE                                                                                                                                                                                                                                                     ","0 (TERADATA)                                                                                                                                                                                                                                                    ","N"
"SAB MILLER                    ","G","9","LOCKLOGGER                                                                                                                                                                                                                                                      ","FALSE                                                                                                                                                                                                                                                           ","N"
"SAB MILLER                    ","G","10","ROLLBACKPRIORITY                                                                                                                                                                                                                                                ","FALSE                                                                                                                                                                                                                                                           ","N"
"SAB MILLER                    ","G","11","MAXLOADTASKS                                                                                                                                                                                                                                                    ","5                                                                                                                                                                                                                                                               ","N"
"SAB MILLER                    ","G","12","ROLLFORWARDLOCK                                                                                                                                                                                                                                                 ","FALSE                                                                                                                                                                                                                                                           ","N"
"SAB MILLER                    ","G","13","MAXDECIMAL                                                                                                                                                                                                                                                      ","15                                                                                                                                                                                                                                                              ","N"
"SAB MILLER                    ","G","14","CENTURY BREAK                                                                                                                                                                                                                                                   ","0                                                                                                                                                                                                                                                               ","N"
"SAB MILLER                    ","G","15","DATEFORM                                                                                                                                                                                                                                                        ","0 (INTEGERDATE)                                                                                                                                                                                                                                                 ","N"
"SAB MILLER                    ","G","16","SYSTEM TIMEZONE HOUR                                                                                                                                                                                                                                            ","-7                                                                                                                                                                                                                                                              ","N"
"SAB MILLER                    ","G","17","SYSTEM TIMEZONE MINUTE                                                                                                                                                                                                                                          ","0                                                                                                                                                                                                                                                               ","N"
"SAB MILLER                    ","G","18","SYSTEM TIMEZONE STRING                                                                                                                                                                                                                                          ","NOT SET                                                                                                                                                                                                                                                         ","N"
"SAB MILLER                    ","G","20","ROUNDHALFWAYMAGUP                                                                                                                                                                                                                                               ","FALSE                                                                                                                                                                                                                                                           ","N"
"SAB MILLER                    ","G","22","TARGET LEVEL EMULATION                                                                                                                                                                                                                                          ","FALSE                                                                                                                                                                                                                                                           ","N"
"SAB MILLER                    ","G","23","EXPORT WIDTH TABLE ID                                                                                                                                                                                                                                           ","0 (EXPECTED DEFAULTS)                                                                                                                                                                                                                                           ","N"
"SAB MILLER                    ","G","24","DBQLLASTRESPOPT                                                                                                                                                                                                                                                 ","FALSE                                                                                                                                                                                                                                                           ","N"
"SAB MILLER                    ","G","25","DBQL OPTIONS                                                                                                                                                                                                                                                    ","0 (NO SPECIAL OPTIONS)                                                                                                                                                                                                                                          ","N"
"SAB MILLER                    ","G","26","EXTERNALAUTHENTICATION                                                                                                                                                                                                                                          ","0 (ON)                                                                                                                                                                                                                                                          ","N"
"SAB MILLER                    ","G","27","IDCOL BATCH SIZE                                                                                                                                                                                                                                                ","100000 (EXPECTED DEFAULTS)                                                                                                                                                                                                                                      ","N"
"SAB MILLER                    ","G","28","LOCKLOGGER DELAY FILTER                                                                                                                                                                                                                                         ","FALSE                                                                                                                                                                                                                                                           ","N"
"SAB MILLER                    ","G","29","LOCKLOGGER DELAY FILTER TIME                                                                                                                                                                                                                                    ","0                                                                                                                                                                                                                                                               ","N"
"SAB MILLER                    ","G","30","OBJECTUSECOUNTCOLLECTRATE                                                                                                                                                                                                                                       ","0 MINUTES (DISABLED)                                                                                                                                                                                                                                            ","N"
"SAB MILLER                    ","G","31","LOCKLOGSEGMENTSIZE                                                                                                                                                                                                                                              ","64 KB (EXPECTED DEFAULTS)                                                                                                                                                                                                                                       ","N"
"SAB MILLER                    ","G","32","COSTPROFILEID                                                                                                                                                                                                                                                   ","0                                                                                                                                                                                                                                                               ","N"
"SAB MILLER                    ","G","33","DBQLFLUSHRATE                                                                                                                                                                                                                                                   ","600 (SECONDS)                                                                                                                                                                                                                                                   ","N"
"SAB MILLER                    ","G","34","MEMORY LIMIT PER TRANSACTION                                                                                                                                                                                                                                    ","2 PAGES                                                                                                                                                                                                                                                         ","N"
"SAB MILLER                    ","G","35","CLIENT RESET TIMEOUT                                                                                                                                                                                                                                            ","300 SECONDS                                                                                                                                                                                                                                                     ","N"
"SAB MILLER                    ","G","36","TEMPORARY STORAGE PAGE SIZE                                                                                                                                                                                                                                     ","4K BYTES                                                                                                                                                                                                                                                        ","N"
"SAB MILLER                    ","G","37","SPILL FILE PATH                                                                                                                                                                                                                                                 ","/VAR/OPT/TERADATA/TDTEMP/TDRSG                                                                                                                                                                                                                                  ","N"
"SAB MILLER                    ","G","38","MDS IS ENABLED                                                                                                                                                                                                                                                  ","FALSE                                                                                                                                                                                                                                                           ","N"
"SAB MILLER                    ","G","39","CHECKTABLE TABLE LOCK RETRY LIMIT                                                                                                                                                                                                                               ","0 (RETRY FOREVER)                                                                                                                                                                                                                                               ","N"
